Season,AvgTime,FirstGame,LastGame,NbGames,Region,TournamentName
S10,1910,2020-08-14,2020-08-28,18,NA,NA Academy Summer Playoffs 2020
S10,1899,2020-08-13,2020-08-27,30,CN,LPL Summer Playoffs 2020
S10,1909,2020-06-17,2020-08-23,211,KR,LCK Summer 2020
S10,1867,2020-08-17,2020-08-20,61,WR,EU Masters Summer Play-In 2020
S10,1992,2020-06-18,2020-08-20,134,KR,CK Summer 2020
S10,1890,2020-08-13,2020-08-16,15,FR,LFL EM Qualification 2020
S10,1772,2020-08-05,2020-08-16,14,DE,Prime League Summer Playoffs 2020
S10,1980,2020-08-16,2020-08-16,8,PL,Ultraliga Season 5 Promotion Tournament
S10,1881,2020-06-19,2020-08-16,135,VN,VCS Summer 2020
S10,2020,2020-08-10,2020-08-15,12,BR,BRCC Split 2 Playoffs 2020
S10,1966,2020-06-09,2020-08-12,78,PL,Ultraliga Season 4
S10,1960,2020-06-06,2020-08-09,84,BR,CBLOL Split 2 2020
S10,1830,2020-06-20,2020-08-09,57,CIS,LCL Summer 2020
S10,2060,2020-06-12,2020-08-09,91,NA,LCS Summer 2020
S10,2015,2020-06-12,2020-08-09,90,EUW,LEC Summer 2020
